Общо;0;274;
Общо;1 - 4;71;
Общо;5 - 9;40;
Общо;10 - 14;64;
Общо;15 - 19;126;
Общо;20 - 24;174;
Общо;25 - 29;236;
Общо;30 - 34;409;
Общо;35 - 39;780;
Общо;40 - 44;1328;
Общо;45 - 49;2270;
Общо;50 - 54;3646;
Общо;55 - 59;5192;
Общо;60 - 64;8239;
Общо;65 - 69;11800;
Общо;70 - 74;16377;
Общо;75 - 79;18090;
Общо;80 - 84;49698;
